"ROLLNUMBER","MPACCIVIC","MPACSTREETNAME","SHAPE_Length","SHAPE_Area"
"020037018000000","12","LYNN RD",126.75692174743808,978.8908499674775
"060005061000000","855","MCALLEN ST",121.77504861436003,890.1166000011392
"060005057000000","108","GLASGOW AVE",102.2224874909689,474.3942500163316
"060005058000000","112","GLASGOW AVE",102.23178803653995,474.4428000106875
"050035044000000","97","THIRD LINE E",796.7338028285337,10291.65505023822
"050035046000000","111","THIRD LINE E",817.7059938468329,10330.293849978018
"050035043000000","89","THIRD LINE E",776.2353663880152,8418.25379968376
"050031019000000","239","ST PATRICK ST",149.7441605468334,1175.6619499729045
"050031020000000","231","ST PATRICK ST",128.3523954325673,660.8723999738343
"060005031000000","101","SPADINA AVE",102.29164245527858,475.22835000829735
"060005059000000","114","GLASGOW AVE",97.37986058291182,444.87620000464017
"060005027000000","121","SPADINA AVE",109.58743215885004,667.496699970103
"030075011910000","0","OLD GARDEN RIV RD",706.1285679530415,28136.391399684544
"050018086000000","295","HAMPTON RD",95.4700365914121,412.63875001313164
"060005028000000","113","SPADINA AVE",109.60738686591216,667.860999997031
"050031006000000","0","ST PATRICK ST",78.47019525206308,253.43340003403685
"050018085000000","303","HAMPTON RD",112.87447057152855,690.178899966503
"050018084000000","305","HAMPTON RD",113.87976129075288,777.3655000097565
"010070015510000","38","QUEENSGATE BLVD",113.89123108495527,791.8897000107982
"060005029000000","109","SPADINA AVE",102.2703390797983,474.6778000003591
"020044003010000","723","BAY ST",236.70483630736157,3551.8126500313324
"060005030000000","105","SPADINA AVE",102.25969289595503,474.60475001316144
"050031018000000","243","ST PATRICK ST",186.95256713208622,1278.9250500188198
"060005032000000","97","SPADINA AVE",114.4593427050992,712.2853000001728
"060005033000000","89","SPADINA AVE",126.64695525669966,949.4266000096981
"060005034000000","81","SPADINA AVE",114.42873221100291,712.034300000143
"060005056000000","100","GLASGOW AVE",108.33558000715927,593.3300999940071
"030050010000000","5","GRANITE ST",142.7888161614174,1109.5804999888762
"030047001000000","6","GRANITE ST",131.34935143776238,972.3407999944228
"030075011980000","672","OLD GARDEN RIV RD",400.39894604466497,6359.300950168881
"030088055000000","334","FIFTH LINE E",934.1401586817424,30257.780099976197
"020017008000000","193","KOHLER ST",84.38870125737402,382.2811499903653
"020017015000000","169","KOHLER ST",91.18837237247233,474.1244999643807
"020017036000000","940","QUEEN ST E",169.3662311628097,1155.121950017636
"020017078000000","129","BIGGINGS AVE",62.71666969280333,241.20894999491534
"030075011990000","662","OLD GARDEN RIV RD",385.2829387763966,6317.841049945648
"030047101000000","293","ST GEORGE'S AVE E",309.81733760781145,4847.013649967856
