"LABEL","STOPNUMBER","SHELTERTYPE","SERVICEDAYS","TRANSFERPOINT","BENCH","GARBAGECAN","SHELTER","LATITUDE","LONGITUDE","geometry.x","geometry.y"
"Circle K",,,"Daily","No","No","NO","No",46.52145843,-84.30755398,706511.2300000004,5155509.93
,,,"Daily","No","No","NO","No",46.50407795,-84.30074873,707099.2300000004,5153596.609999999
"Wacky Wings",,,"Daily","No","No","NO","No",46.51327699,-84.29535327,707478.1500000004,5154632.890000001
"B.S.",,"Old Shelter","Daily","No","Yes","YES","Yes",46.50708075,-84.32871193,704942.5500000007,5153857.26
,,,"Weekdays","No","No","NO","No",46.53497869,-84.30364258,706759.8800000008,5157022.42
,,,"Weekdays","No","No","NO","No",46.52377244,-84.31267154,706109.9700000007,5155753.66
"Civic # 101",,,"Weekdays","No","No","NO","No",46.523797,-84.31006921,706309.4600000009,5155763.1899999995
"Across from Civic # 72",,,"Daily","No","No","YES","No",46.55229248,-84.34762138,703322.9700000007,5158831.85
"Across from Civic # 154",,,"Daily","No","No","YES","No",46.55241021,-84.34349021,703639.1999999993,5158855.59
"B.S.",,"Old Shelter","Daily","No","No","NO","Yes",46.53178053,-84.34397167,703679.4800000004,5156562.16
"B.S.",,"New Dome Shelter","Daily","No","Yes","YES","Yes",46.51013256,-84.33100713,704755,5154190.390000001
"Civic # 188",,,"Daily","No","No","NO","No",46.50900669,-84.31944759,705646.0199999996,5154095.35
"Civic # 1236",,,"Daily","No","No","YES","No",46.50948562,-84.30670773,706621.5399999991,5154181.84
"Civic # 1241",,,"Daily","No","No","YES","No",46.5093238,-84.30689875,706607.5,5154163.359999999
"Civic # 1291",,,"Daily","No","No","YES","No",46.50932831,-84.30391369,706836.4800000004,5154171.68
"B.S.",,"New Half Shelter","Daily","No","Yes","YES","Yes",46.5027188,-84.26407847,709917.8699999992,5153542.470000001
"Across from Civic # 21",,,"Daily","No","No","NO","No",46.51037205,-84.27014383,709423.0999999996,5154376.710000001
"Across from Civic # 426",,,"Daily","No","No","NO","No",46.52009777,-84.32134667,705458.5,5155322.74
"Collegiate Heights",,,"Weekdays","No","No","NO","No",46.5154219,-84.32508637,705189.2799999993,5154793.470000001
,,,"Weekdays","No","No","NO","No",46.52594588,-84.31700196,705769.6400000006,5155983.85
,,"New Dome Shelter","Daily","Yes","Yes","NO","Yes",46.54886144,-84.31200613,706066.0099999998,5158543.0600000005
,,,"Weekdays","No","No","NO","No",46.53496938,-84.32220959,705336.2300000004,5156972.890000001
,,,"Weekdays","No","No","NO","No",46.53937505,-84.33624576,704243.4299999997,5157425.970000001
