"CIVICNUMBER","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE"
26,"Grosvenor Avenue","P6B 2L9","SSM",46.51894778,-84.330088
124,"Anita Boulevard","P6B 4P9","SSM",46.53606406,-84.33408843
14,"Birch Street","P6B 2J4","SSM",46.51953857,-84.33231328
80,"Bainbridge Street","P6C 2G9","SSM",46.53613061,-84.34049221
252,"Spruce Street","P6B 2H3","SSM",46.52628417,-84.33500981
48,"Pardee Avenue","P6B 1W1","SSM",46.5226531,-84.33692892
52,"Kitchener Road","P6B 4R2","SSM",46.53310388,-84.33268098
466,"Second Line East","P6B 4K1","SSM",46.5387329,-84.32768929
42,"Cameron Avenue","P6B 4W8","SSM",46.52491459,-84.3214506
35,"Clergue Street","P6C 2B2","SSM",46.53554896,-84.33692883
195,"Elmwood Avenue","P6B 4W5","SSM",46.53154058,-84.32312899
5,"Wilcox Avenue","P6B 1T9","SSM",46.52144926,-84.3370681
70,"Fauquier Avenue","P6B 2P3","SSM",46.51418463,-84.32460819
38,"Birch Street","P6B 2J4","SSM",46.52027304,-84.33232776
17,"Van Daele Street","P6B 4V3","SSM",46.52838707,-84.32472467
150,"Conmee Avenue","P6C 1W2","SSM",46.5324219,-84.34399606
15,"White Oak Drive West","P6C 2H7","SSM",46.5375748,-84.33655166
28,"Stevens Street","P6B 3N5","SSM",46.52412221,-84.3220449
76,"Bainbridge Street","P6C 2G9","SSM",46.53616285,-84.34025314
572,"Northland Road","P6C 3P2","SSM",46.53128237,-84.34578853
86,"Grandville Crescent","P6B 5P9","SSM",46.53285003,-84.32900569
191,"Elmwood Avenue","P6B 4W5","SSM",46.5314412,-84.3231284
102,"Elmwood Avenue","P6B 4W2","SSM",46.52841336,-84.32258027
80,"Grandville Crescent","P6B 5P9","SSM",46.53285353,-84.32875109
166,"Reid Street","P6B 4T9","SSM",46.52838018,-84.32593042
464,"Parliament Street","P6C 3M3","SSM",46.52806721,-84.34518399
516,"Morin Street","P6C 3E9","SSM",46.52981153,-84.33945994
355,"Wilson Street","P6B 2K7","SSM",46.52010971,-84.33174632
94,"Knox Avenue","P6B 3X9","SSM",46.52974269,-84.33249017
56,"Kitchener Road","P6B 4R2","SSM",46.53326786,-84.33270777
20,"Birch Street","P6B 2J4","SSM",46.51974717,-84.33231636
45,"Railroad Avenue","P6B 1T4","SSM",46.52157306,-84.33728279
72,"Bainbridge Street","P6C 2G9","SSM",46.53619856,-84.34001638
120,"Bainbridge Street","P6C 2G9","SSM",46.53594701,-84.34311239
11,"White Oak Drive West","P6C 2H7","SSM",46.53751017,-84.33606848
17,"Alberta Avenue","P6B 2N6","SSM",46.52057565,-84.32639289
68,"Bainbridge Street","P6C 2G9","SSM",46.53620766,-84.33978119
9,"White Oak Drive West","P6C 2H7","SSM",46.53749872,-84.33579725
33,"Hamilton Avenue","P6B 1C7","SSM",46.51252104,-84.32336151
29,"Hamilton Avenue","P6B 1C7","SSM",46.51252506,-84.32349089
129,"Elmwood Avenue","P6B 4W1","SSM",46.52937237,-84.32317834
50,"Pardee Avenue","P6B 1W1","SSM",46.52265047,-84.3367928
54,"Pardee Avenue","P6B 1W1","SSM",46.52266892,-84.3366692
118,"Bainbridge Street","P6C 2G9","SSM",46.53591507,-84.34285364
174,"Reid Street","P6B 4T9","SSM",46.52860245,-84.32600609
76,"Grandville Crescent","P6B 5P9","SSM",46.53283137,-84.32854613
16,"Birch Street","P6B 2J4","SSM",46.51962627,-84.33231902
15,"Grandmont Crescent","P6B 3W1","SSM",46.5269973,-84.32941301
425,"John Street","P6C 3J8","SSM",46.52688347,-84.3432949
21,"Grandmont Crescent","P6B 3W1","SSM",46.52699706,-84.32919095
20,"Grandview Avenue","P6B 3V8","SSM",46.52726771,-84.33381797
116,"Bainbridge Street","P6C 2G9","SSM",46.53600631,-84.3426203
80,"Grandhaven Crescent","P6B 3Y5","SSM",46.52954922,-84.32902652
392,"Bruce Street","P6B 1R4","SSM",46.51981486,-84.323016
335,"Wilson Street","P6B 2K7","SSM",46.51961449,-84.33172964
9,"Railroad Avenue","P6B 1T8","SSM",46.52244074,-84.33850327
86,"Grandhaven Crescent","P6B 3Y5","SSM",46.52954406,-84.32924102
27,"Clergue Street","P6C 2B2","SSM",46.53520371,-84.33693633
19,"Alberta Avenue","P6B 2N6","SSM",46.52074214,-84.32637741
21,"Lothian Avenue","P6B 6J5","SSM",46.52848524,-84.32221031
266,"Spruce Street","P6B 2H3","SSM",46.52661566,-84.33504953
49,"Cameron Avenue","P6B 4W9","SSM",46.52523345,-84.32194944
11,"Clergue Street","P6C 2A9","SSM",46.53463329,-84.33842774
11,"Wilcox Avenue","P6B 1T9","SSM",46.52147983,-84.33676516
6,"Blake Avenue","P6B 4X4","SSM",46.52246947,-84.32029126
258,"Birch Street","P6B 2K4","SSM",46.52749278,-84.33772499
31,"Clergue Street","P6C 2B2","SSM",46.53539769,-84.33686437
357,"Wilson Street","P6B 2K7","SSM",46.52019302,-84.33174915
31,"Grandmont Crescent","P6B 3W1","SSM",46.52701584,-84.32868136
106,"Knox Avenue","P6B 3X9","SSM",46.52982146,-84.33180065
12,"Borron Avenue","P6B 1E6","SSM",46.51388215,-84.32419728
106,"Elmwood Avenue","P6B 4W2","SSM",46.52853363,-84.32257409
27,"Grandmont Crescent","P6B 3W1","SSM",46.52698207,-84.32891538
123,"St. George's Avenue East","P6B 1X4","SSM",46.52384331,-84.33500787
564,"John Street","P6C 3K7","SSM",46.53062346,-84.34197255
591,"John Street","P6C 3K6","SSM",46.53153211,-84.34222812
38,"Chippewa Street","P6C 3A3","SSM",46.54529854,-84.38372086
310,"North Street","P6B 2A5","SSM",46.52261571,-84.3389482
133,"Elmwood Avenue","P6B 4W1","SSM",46.52949163,-84.32313283
532,"North Street","P6B 2B8","SSM",46.53018765,-84.33699454
8,"MacDonald Avenue","P6B 1G9","SSM",46.51656859,-84.32691353
333,"Wilson Street","P6B 2K7","SSM",46.51952855,-84.33172212
444,"John Street","P6C 3K1","SSM",46.52725863,-84.34268081
559,"Morin Street","P6C 3G1","SSM",46.53008371,-84.33995587
10,"MacDonald Avenue","P6B 1G9","SSM",46.51668818,-84.32680493
21,"Selkirk Road","P6B 4L1","SSM",46.53942431,-84.3305101
339,"Wilson Street","P6B 2K7","SSM",46.51969428,-84.33170448
30,"Grandville Crescent","P6B 5P9","SSM",46.53245837,-84.3283057
575,"John Street","P6C 3K6","SSM",46.53101006,-84.34235793
364,"Wilson Street","P6B 2K5","SSM",46.52043541,-84.33122162
25,"Selkirk Road","P6B 4L1","SSM",46.53942336,-84.3302536
14,"Alberta Avenue","P6B 2N7","SSM",46.52051014,-84.3258356
4,"Grandy Road","P6B 3M8","SSM",46.52479939,-84.33120831
157,"Bloor Street West","P6C 1H8","SSM",46.52798078,-84.34456281
10,"Grandy Road","P6B 3M8","SSM",46.52480219,-84.33100437
118,"Grosvenor Avenue","P6B 2M1","SSM",46.51713766,-84.32864968
635,"North Street","P6B 2C1","SSM",46.53492984,-84.33640316
76,"Grandhaven Crescent","P6B 3Y5","SSM",46.52956461,-84.32876861
20,"Pardee Avenue","P6B 1V8","SSM",46.52262166,-84.33822571
133,"Trelawne Avenue","P6B 2M8","SSM",46.51692103,-84.32811861
448,"John Street","P6C 3K1","SSM",46.52745853,-84.34264667
18,"Pardee Avenue","P6B 1V8","SSM",46.52260958,-84.33832526
34,"Edinburgh Street","P6A 1K7","SSM",46.52185357,-84.34040545
35,"Selkirk Road","P6B 4L1","SSM",46.53945998,-84.3297944
161,"Bloor Street West","P6C 1H8","SSM",46.52796989,-84.34472165
122,"Grosvenor Avenue","P6B 2M1","SSM",46.51699306,-84.32853565
24,"Grosvenor Avenue","P6B 2L9","SSM",46.51903179,-84.33010892
21,"Van Daele Street","P6B 4V3","SSM",46.52851572,-84.32474573
8,"Blake Avenue","P6B 4X4","SSM",46.52256667,-84.32024892
7,"Wilcox Avenue","P6B 1T9","SSM",46.52148066,-84.33693996
639,"North Street","P6B 2C1","SSM",46.53507876,-84.33637865
561,"John Street","P6C 3K6","SSM",46.53068059,-84.34245551
43,"Birch Street","P6B 2J5","SSM",46.52041545,-84.33289981
578,"Northland Road","P6C 3P2","SSM",46.53148216,-84.34580709
6,"Borron Avenue","P6B 1E6","SSM",46.51404801,-84.32425445
22,"Grosvenor Avenue","P6B 2L9","SSM",46.51912444,-84.33009525
640,"Goulais Avenue","P6C 5A7","SSM",46.54450736,-84.38178315
135,"Trelawne Avenue","P6B 2M8","SSM",46.51684136,-84.3281216
582,"Northland Road","P6C 3P2","SSM",46.53157542,-84.34570748
7,"Great Northern Road","P6B 4Y4","SSM",46.52248707,-84.31974043
145,"Elmwood Avenue","P6B 4W1","SSM",46.52990386,-84.32312235
571,"John Street","P6C 3K6","SSM",46.53089369,-84.3424352
19,"Salisbury Avenue","P6B 1L9","SSM",46.52085916,-84.32774458
21,"Grand Boulevard","P6B 4R8","SSM",46.52434786,-84.33004428
37,"Walnut Street","P6B 2E4","SSM",46.52155619,-84.33658554
63,"Kitchener Road","P6B 4R1","SSM",46.53336213,-84.33341559
132,"Walnut Street","P6B 2E9","SSM",46.52415786,-84.3362047
567,"John Street","P6C 3K6","SSM",46.53079896,-84.34240983
44,"Edinburgh Street","P6A 1K7","SSM",46.52204176,-84.3406256
44,"Cameron Avenue","P6B 4W8","SSM",46.52501234,-84.32148543
48,"Cameron Avenue","P6B 4W8","SSM",46.52513728,-84.32144395
38,"Edinburgh Street","P6A 1K7","SSM",46.52197786,-84.34054841
572,"John Street","P6C 3K7","SSM",46.53084404,-84.34194861
16,"Alberta Avenue","P6B 2N7","SSM",46.52068676,-84.32583736
81,"Chapple Avenue","P6B 3P1","SSM",46.52334265,-84.31146046
601,"Second Line East","P6B 4K2","SSM",46.53803708,-84.32079019
16,"Elm Avenue","P6C 1Y9","SSM",46.53434186,-84.33783608
15,"Clergue Street","P6C 2A9","SSM",46.53472616,-84.33822262
354,"Wellington Street West","P6A 1J1","SSM",46.52674884,-84.3473724
23,"Lothian Avenue","P6B 6J5","SSM",46.52848624,-84.32201844
51,"Birch Street","P6B 2J5","SSM",46.52061982,-84.33291835
96,"Nino Drive","P6B 3V6","SSM",46.52698154,-84.33355698
113,"Bainbridge Street","P6C 2H1","SSM",46.53549294,-84.34248808
43,"Summit Avenue","P6B 2S5","SSM",46.51315755,-84.32111159
250,"Birch Street","P6B 2K4","SSM",46.52751427,-84.33737265
352,"Wellington Street West","P6A 1J1","SSM",46.5265982,-84.34738482
25,"Pardee Avenue","P6B 1V9","SSM",46.52298108,-84.33798427
246,"Birch Street","P6B 2K4","SSM",46.52752571,-84.33717193
136,"Walnut Street","P6B 2E9","SSM",46.5242636,-84.33622365
109,"Bainbridge Street","P6C 2H1","SSM",46.5355508,-84.34201171
38,"Grandmont Crescent","P6B 3V9","SSM",46.52744309,-84.32832019
435,"Bush Street","P6C 3H5","SSM",46.52694186,-84.34197414
116,"Grosvenor Avenue","P6B 2M1","SSM",46.51719462,-84.32878429
114,"Grosvenor Avenue","P6B 2M1","SSM",46.5172625,-84.3288545
407,"Charles Street","P6C 3L4","SSM",46.52645743,-84.34478731
571,"Parliament Street","P6C 3M9","SSM",46.53118355,-84.34500544
151,"Chippewa Street","P6C 3A2","SSM",46.54465783,-84.39035912
103,"Trelawne Avenue","P6B 2M8","SSM",46.51764063,-84.328182
29,"Pardee Avenue","P6B 1V9","SSM",46.52297846,-84.33774057
41,"Old Garden River Road","P6B 5A5","SSM",46.53535282,-84.3173789
14,"Peace Tree Drive","P6A 5K7","Aweres Township",46.64914658,-84.31787949
166,"Chippewa Street","P6C 3A3","SSM",46.54514856,-84.39109487
565,"Parliament Street","P6C 3M9","SSM",46.53107249,-84.3450325
27,"Pardee Avenue","P6B 1V9","SSM",46.5229777,-84.33784323
568,"John Street","P6C 3K7","SSM",46.53073258,-84.34194322
140,"Walnut Street","P6B 2E9","SSM",46.52443671,-84.33620188
25,"Grandy Road","P6B 3M9","SSM",46.52439025,-84.33030637
107,"Trelawne Avenue","P6B 2M8","SSM",46.51754243,-84.32813545
21,"Trelawne Avenue","P6B 2M6","SSM",46.52042247,-84.33083346
141,"Elmwood Avenue","P6B 4W1","SSM",46.52974676,-84.32315106
131,"Trelawne Avenue","P6B 2M8","SSM",46.51701593,-84.32811226
6,"Peace Tree Drive","P6A 5K7","Aweres Township",46.64949268,-84.31844603
411,"Charles Street","P6C 3L4","SSM",46.52656116,-84.34475057
454,"North Street","P6B 2B4","SSM",46.52783972,-84.33764335
62,"Kitchener Road","P6B 4R2","SSM",46.53343674,-84.33267889
35,"Hamilton Avenue","P6B 1C7","SSM",46.51252732,-84.32317635
110,"Grosvenor Avenue","P6B 2M1","SSM",46.51734791,-84.32895069
47,"Grandville Crescent","P6B 5P8","SSM",46.53254554,-84.32771875
155,"Yates Avenue","P6C 1G1","SSM",46.52647242,-84.39455943
15,"Northern Avenue West","P6C 3E2","SSM",46.53462237,-84.33756089
415,"Charles Street","P6C 3L4","SSM",46.52666296,-84.34468914
402,"Bruce Street","P6B 1R4","SSM",46.51977557,-84.32264492
37,"Grandmont Crescent","P6B 3W1","SSM",46.52700052,-84.32841871
48,"Hamilton Avenue","P6B 1C8","SSM",46.51220071,-84.32243474
10,"Blake Avenue","P6B 4X4","SSM",46.52267468,-84.32026473
66,"Kitchener Road","P6B 4R2","SSM",46.53355856,-84.33271191
61,"Great Northern Road","P6B 4Y8","SSM",46.52657386,-84.31987726
647,"North Street","P6B 2C1","SSM",46.53524641,-84.33631985
19,"Northern Avenue West","P6C 3E2","SSM",46.53477213,-84.33771567
37,"Hamilton Avenue","P6B 1C7","SSM",46.5125714,-84.32303691
424,"Parliament Street","P6C 3M3","SSM",46.52686945,-84.34538373
94,"Maple Street","P6B 2H8","SSM",46.52212913,-84.33365908
203,"Elmwood Avenue","P6B 4W5","SSM",46.53182309,-84.32312136
9,"Grandview Avenue","P6B 3V7","SSM",46.52733631,-84.33456387
207,"Spruce Street","P6B 2H1","SSM",46.52443292,-84.3355449
25,"Van Daele Street","P6B 4V3","SSM",46.52865328,-84.32472411
5,"Peace Tree Drive","P6A 5K7","Aweres Township",46.64965872,-84.31815788
39,"Hamilton Avenue","P6B 1C7","SSM",46.51255616,-84.32285515
651,"North Street","P6B 2C1","SSM",46.5354002,-84.3362882
24,"Stevens Street","P6B 3N4","SSM",46.52413082,-84.32149058
12,"Blake Avenue","P6B 4X4","SSM",46.52281381,-84.32029883
393,"Bruce Street","P6B 1R5","SSM",46.52014719,-84.32301427
18,"Granite Street","P6B 4T1","SSM",46.52435382,-84.32771158
22,"Wemyss Street","P6B 1B3","SSM",46.51153843,-84.32428488
33,"Algoma Avenue","P6B 2P6","SSM",46.5203677,-84.32503306
124,"Oryme Avenue","P6B 4C4","SSM",46.53118576,-84.32037309
326,"Wilson Street","P6B 2K5","SSM",46.51934453,-84.33123778
324,"Wilson Street","P6B 2K5","SSM",46.51924743,-84.33119195
40,"Sunnydale Road","P6C 3A6","SSM",46.54603182,-84.34669857
70,"Grandhaven Crescent","P6B 3Y5","SSM",46.52956327,-84.32854165
330,"Wilson Street","P6B 2K5","SSM",46.51944141,-84.33125103
199,"Elmwood Avenue","P6B 4W5","SSM",46.53171782,-84.32313814
207,"Elmwood Avenue","P6B 4W5","SSM",46.53197452,-84.32310413
396,"John Street","P6C 3J9","SSM",46.5260053,-84.34294864
44,"Bloor Street West","P6C 1H4","SSM",46.52781466,-84.33992249
29,"Van Daele Street","P6B 4V3","SSM",46.52877584,-84.32473504
40,"Bloor Street West","P6C 1H4","SSM",46.52780974,-84.33974592
242,"Birch Street","P6B 2K4","SSM",46.52752697,-84.33693246
7,"Elmwood Avenue","P6B 4V6","SSM",46.52248926,-84.32310243
34,"Wemyss Street","P6B 1B3","SSM",46.51127047,-84.32369565
128,"Lansdowne Avenue","P6B 1K7","SSM",46.51757645,-84.32399586
419,"Charles Street","P6C 3L4","SSM",46.52676974,-84.3446443
66,"Grandhaven Crescent","P6B 3Y5","SSM",46.52957496,-84.32832174
478,"Morin Street","P6C 3E9","SSM",46.52800737,-84.33986927
238,"Birch Street","P6B 2K4","SSM",46.52755464,-84.33677972
128,"Chestnut Street","P6B 2E1","SSM",46.5246676,-84.3375014
70,"Grandville Crescent","P6B 5P9","SSM",46.53283314,-84.32832513
35,"Algoma Avenue","P6B 2P6","SSM",46.52048359,-84.32502802
423,"Charles Street","P6C 3L4","SSM",46.52688464,-84.34470885
391,"Bush Street","P6C 3H2","SSM",46.52589587,-84.34214398
389,"Bush Street","P6C 3H2","SSM",46.52577699,-84.34221785
149,"Blake Avenue","P6B 4Y2","SSM",46.52995731,-84.32103979
443,"Bush Street","P6C 3H5","SSM",46.52717056,-84.34189321
3,"Gladstone Avenue","P6B 2P8","SSM",46.51731947,-84.32374839
37,"Borron Avenue","P6B 1E8","SSM",46.51401248,-84.32360945
127,"Trelawne Avenue","P6B 2M8","SSM",46.51718739,-84.32812457
35,"Borron Avenue","P6B 1E8","SSM",46.51410158,-84.32367847
124,"Chestnut Street","P6B 2E1","SSM",46.52454742,-84.33750402
37,"Algoma Avenue","P6B 2P6","SSM",46.52057043,-84.32501958
24,"White Oak Drive West","P6C 2H6","SSM",46.53800859,-84.33675215
428,"Morin Street",,"SSM",46.52697988,-84.33921741
12,"Trelawne Avenue","P6B 2M5","SSM",46.52075963,-84.33127366
13,"Peace Tree Drive","P6A 5K7","Aweres Township",46.64892205,-84.3182526
250,"St. George's Avenue East","P6B 1X5","SSM",46.52302911,-84.32896297
697,"Wilson Street","P6B 5X2","SSM",46.53261267,-84.3318716
404,"John Street","P6C 3J9","SSM",46.52621861,-84.34289899
24,"Grandy Road","P6B 3M8","SSM",46.52480238,-84.33025318
18,"Grandy Road","P6B 3M8","SSM",46.52480392,-84.33049263
400,"John Street","P6C 3J9","SSM",46.52610804,-84.34294311
576,"John Street","P6C 3K7","SSM",46.5309457,-84.3419276
20,"White Oak Drive West","P6C 2H6","SSM",46.53797982,-84.33654489
497,"Second Line East","P6B 4K2","SSM",46.53765179,-84.32608692
701,"Wilson Street","P6B 5X2","SSM",46.53279965,-84.33188917
37,"Elm Avenue","P6C 1Z1","SSM",46.53352428,-84.33835337
69,"Grandhaven Crescent","P6B 3Y4","SSM",46.52957365,-84.32772286
259,"Great Northern Road","P6B 4Z2","SSM",46.53380618,-84.31993843
85,"Bainbridge Street","P6C 2H1","SSM",46.53568688,-84.34061079
346,"Wellington Street West","P6A 1J1","SSM",46.52649196,-84.34725882
440,"Bush Street","P6C 3H4","SSM",46.52700243,-84.34142456
8,"Chestnut Street South","P6B 2C7","SSM",46.52173553,-84.33737237
408,"John Street","P6C 3J9","SSM",46.52632287,-84.34286195
105,"Blake Avenue","P6B 4Y2","SSM",46.52842568,-84.32103965
123,"Trelawne Avenue","P6B 2M8","SSM",46.51728014,-84.32812289
600,"John Street","P6C 3K8","SSM",46.53177004,-84.34157269
17,"Elmwood Avenue","P6B 4V6","SSM",46.52287432,-84.32313852
81,"Blake Avenue","P6B 4X9","SSM",46.52745141,-84.32086199
31,"Pardee Avenue","P6B 1V9","SSM",46.52299502,-84.33764797
33,"Elm Avenue","P6C 1Z1","SSM",46.53362685,-84.33817034
53,"Grandville Crescent","P6B 5P8","SSM",46.53272403,-84.32772708
32,"White Oak Drive West","P6C 2H6","SSM",46.5380651,-84.33727721
77,"Bainbridge Street","P6C 2H1","SSM",46.53573693,-84.34012019
709,"Wilson Street","P6B 5X2","SSM",46.5329726,-84.33186466
81,"Bainbridge Street","P6C 2H1","SSM",46.53570126,-84.34037781
360,"Second Line East","P6B 4J9","SSM",46.53850762,-84.33227025
34,"Summit Avenue","P6B 2S6","SSM",46.51278047,-84.32038303
568,"Parliament Street","P6C 3N1","SSM",46.53101871,-84.34457323
31,"Lothian Avenue","P6B 6J5","SSM",46.52848975,-84.32161116
555,"Bush Street","P6C 3H9","SSM",46.53063059,-84.34115665
39,"Clergue Street","P6C 2B2","SSM",46.53564545,-84.33713017
199,"Spruce Street","P6B 2H1","SSM",46.52417722,-84.33550982
581,"Parliament Street","P6C 3M9","SSM",46.53149717,-84.34491503
559,"Bush Street","P6C 3H9","SSM",46.53073624,-84.34114849
2,"Ferris Avenue","P6B 2R4","SSM",46.51420266,-84.32372513
332,"Wilson Street","P6B 2K5","SSM",46.51952765,-84.33124028
16,"Trelawne Avenue","P6B 2M5","SSM",46.52075774,-84.33108483
20,"Chestnut Street South","P6B 2C7","SSM",46.52197509,-84.33740994
41,"Grand Boulevard","P6B 4R9","SSM",46.52485617,-84.33002862
529,"Nelson Street","P6C 3C6","SSM",46.52940715,-84.33881387
46,"Summit Avenue","P6B 2S6","SSM",46.51304136,-84.32047423
561,"Bush Street","P6C 3H9","SSM",46.5308514,-84.34113504
59,"White Oak Drive East","P6B 4J7","SSM",46.53701975,-84.33289563
41,"Wemyss Street","P6B 1B4","SSM",46.51091171,-84.32333329
43,"Hamilton Avenue","P6B 1C7","SSM",46.51255133,-84.32268358
26,"Chestnut Street South","P6B 2C7","SSM",46.52210371,-84.33739114
203,"Spruce Street","P6B 2H1","SSM",46.52430787,-84.33552807
535,"Morrison Avenue","P6B 3Z7","SSM",46.52938769,-84.33588431
65,"White Oak Drive East","P6B 4J7","SSM",46.53684538,-84.33253496
24,"Granite Street","P6B 4T1","SSM",46.5245725,-84.32774922
132,"Chestnut Street","P6B 2E1","SSM",46.52483637,-84.3374676
6,"Ferris Avenue","P6B 2R4","SSM",46.5143889,-84.32374557
336,"Wilson Street","P6B 2K5","SSM",46.51960618,-84.3312114
23,"Trelawne Avenue","P6B 2M6","SSM",46.5203921,-84.3306811
219,"Walnut Street","P6B 2G3","SSM",46.52791641,-84.33679371
64,"Birch Street","P6B 2J4","SSM",46.5209001,-84.33238676
579,"John Street","P6C 3K6","SSM",46.53111963,-84.34235936
148,"Blake Avenue","P6B 4Y1","SSM",46.52990346,-84.32043554
20,"Lothian Avenue","P6B 6J5","SSM",46.5289285,-84.32221042
30,"Granite Street","P6B 4T1","SSM",46.52477205,-84.32776121
27,"Superior Drive","P6B 4K7","SSM",46.53856661,-84.33077597
24,"Lothian Avenue","P6B 6J5","SSM",46.52891757,-84.32202435
24,"Grandmont Crescent","P6B 3V9","SSM",46.52740662,-84.3290127
25,"Grandview Avenue","P6B 3V7","SSM",46.5278562,-84.3342419
31,"Superior Drive","P6B 4K7","SSM",46.53855296,-84.33108939
198,"Spruce Street","P6B 2G9","SSM",46.5241812,-84.3349972
108,"Bainbridge Street","P6C 2G9","SSM",46.53598677,-84.34212032
43,"Wemyss Street","P6B 1B4","SSM",46.51090208,-84.32313757
66,"Wemyss Street","P6B 1B3","SSM",46.51124565,-84.32194786
217,"Walnut Street","P6B 2G3","SSM",46.5278362,-84.33681211
197,"Grand Boulevard","P6B 4S7","SSM",46.53034968,-84.33055601
2,"Strand Avenue","P6B 4B6","SSM",46.53149076,-84.33665839
396,"Bush Street","P6C 3H3","SSM",46.52583842,-84.34166655
28,"Grandmont Crescent","P6B 3V9","SSM",46.52740211,-84.32878889
35,"Superior Drive","P6B 4K7","SSM",46.53856656,-84.33133288
84,"Bainbridge Street","P6C 2G9","SSM",46.53609831,-84.34072084
578,"Parliament Street","P6C 3N1","SSM",46.53133816,-84.34449349
541,"Morrison Avenue","P6B 3Z7","SSM",46.52966693,-84.33570138
248,"Northern Avenue East","P6B 4H6","SSM",46.53453181,-84.32253654
953,"Great Northern Road","P6B 0B9","SSM",46.55561634,-84.32120529
112,"Bainbridge Street","P6C 2G9","SSM",46.5359569,-84.3423414
400,"Bush Street","P6C 3H3","SSM",46.52594681,-84.34159828
537,"Morrison Avenue","P6B 3Z7","SSM",46.52957128,-84.33585316
25,"Trelawne Avenue","P6B 2M6","SSM",46.52035771,-84.33055384
247,"Doncaster Road","P6C 2T7","SSM",46.54045786,-84.3632605
287,"North Street","P6A 1M7","SSM",46.5215934,-84.33968279
128,"Elmwood Avenue","P6B 4W2","SSM",46.52935691,-84.32256073
659,"North Street","P6B 2C1","SSM",46.53554673,-84.33623082
581,"John Street","P6C 3K6","SSM",46.53121712,-84.34232526
585,"Bush Street","P6C 3J3","SSM",46.53184543,-84.34108402
27,"Trelawne Avenue","P6B 2M6","SSM",46.52036394,-84.33038874
193,"Grand Boulevard","P6B 4S7","SSM",46.53017496,-84.33044304
126,"Elmwood Avenue","P6B 4W2","SSM",46.52920128,-84.32253292
533,"Nelson Street","P6C 3C6","SSM",46.52950444,-84.33877156
12,"Hearst Street","P6B 1J7","SSM",46.51739382,-84.32707994
143,"Walnut Street","P6B 2E8","SSM",46.52456063,-84.33682743
70,"Wemyss Street","P6B 1B3","SSM",46.51124259,-84.32165966
16,"White Oak Drive West","P6C 2H6","SSM",46.53795482,-84.33632152
202,"Spruce Street","P6B 2G9","SSM",46.52434157,-84.33499691
338,"Wilson Street","P6B 2K5","SSM",46.51970137,-84.33122969
16,"Hearst Street","P6B 1J7","SSM",46.51742603,-84.32683313
21,"Hardiman Avenue","P6B 5R1","SSM",46.529282,-84.32222485
10,"Strand Avenue","P6B 4B6","SSM",46.53151879,-84.3363473
106,"McNabb Street","P6B 1X9","SSM",46.52198157,-84.32258746
289,"North Street","P6A 1M7","SSM",46.52165805,-84.33967651
112,"McNabb Street","P6B 1X9","SSM",46.52197182,-84.32233252
28,"Grandview Avenue","P6B 3V8","SSM",46.52762739,-84.33374259
37,"Knox Avenue","P6B 3X8","SSM",46.52912709,-84.33510618
692,"Wilson Street","P6B 2L7","SSM",46.53247401,-84.33125987
44,"Birch Street","P6B 2J4","SSM",46.52049431,-84.33236869
104,"Bainbridge Street","P6C 2G9","SSM",46.53604513,-84.34190567
35,"Lothian Avenue","P6B 6J5","SSM",46.52848271,-84.32139166
7,"Gladstone Avenue","P6B 2P8","SSM",46.51757174,-84.3237446
537,"Nelson Street","P6C 3C6","SSM",46.52961864,-84.33875163
218,"Elmwood Avenue","P6B 4W4","SSM",46.53232775,-84.32309576
147,"Walnut Street","P6B 2E8","SSM",46.52467542,-84.33681725
696,"Wilson Street","P6B 2L7","SSM",46.53263771,-84.33121298
25,"Hardiman Avenue","P6B 5R1","SSM",46.52928894,-84.321995
501,"Northland Road","P6C 3N7","SSM",46.52942904,-84.34674005
83,"Grandville Crescent","P6B 5P8","SSM",46.53328414,-84.32894175
108,"Gladstone Avenue","P6B 2R2","SSM",46.52039272,-84.32312985
48,"Birch Street","P6B 2J4","SSM",46.52059039,-84.33237859
5,"Foxborough Trail","P6B 0A5","SSM",46.5462724,-84.30611007
580,"Second Line East","P6B 4K1","SSM",46.5391779,-84.32214928
19,"Grosvenor Avenue","P6B 2L8","SSM",46.51926879,-84.3306574
690,"Queen Street East","P6A 2A4","SSM",46.50800097,-84.32790936
11,"Euclid Road","P6B 1A1","SSM",46.51058458,-84.32215464
61,"Grosvenor Avenue","P6B 2L8","SSM",46.51766295,-84.33007315
480,"Wilson Street","P6B 2L2","SSM",46.52525925,-84.33121055
580,"John Street","P6C 3K7","SSM",46.53105542,-84.34187765
7,"Hearst Street","P6B 1J6","SSM",46.516909,-84.32740384
228,"Walnut Street","P6B 2G4","SSM",46.52788632,-84.33625194
101,"Bainbridge Street","P6C 2H1","SSM",46.53559045,-84.34154941
67,"Elmwood Avenue","P6B 4V7","SSM",46.52674041,-84.32315946
39,"Pardee Avenue","P6B 1V9","SSM",46.52298423,-84.33718459
399,"Bruce Street","P6B 1R5","SSM",46.52020849,-84.32270343
89,"Grandville Crescent","P6B 5P8","SSM",46.53329415,-84.32923924
363,"Wilson Street","P6B 2K7","SSM",46.52035659,-84.33172379
12,"White Oak Drive West","P6C 2H6","SSM",46.53792702,-84.33606321
