"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","geometry.paths"
"Manitou Drive"," ","Manitou","Drive"," ",199,207,198,204,"[[[708927.8699999992,5156754.539999999],[708926.9600000009,5156782.609999999]]]"
"Bittern Street"," ","Bittern","Street"," ",2,100,1,99,"[[[710470.9199999999,5156898.369999999],[710281.6600000001,5157175.25],[710271.1600000001,5157189.25],[710253,5157212],[710242.1999999993,5157222.66],[710229.6799999997,5157231.859999999],[710207.5199999996,5157243.41],[710184.8699999992,5157251.59],[710160.7599999998,5157254.01],[710131.1999999993,5157253]]]"
"Nebenaigoching Street"," ","Nebenaigoching","Street"," ",26,52,27,49,"[[[709730.5999999996,5156543.9],[709831.8000000007,5156613.949999999],[709839.6600000001,5156619.43],[709846.4800000004,5156621.73],[709854.1400000006,5156622.02],[709862.9900000002,5156618.949999999],[709869.5099999998,5156613.5],[709929.1400000006,5156527.77]]]"
"Anna Street"," ","Anna","Street"," ",86,148,87,159,"[[[709207.5600000005,5156177.039999999],[709316.8900000006,5156345.119999999],[709320.9100000001,5156353.029999999],[709324.4399999995,5156362.1],[709326.2100000009,5156368.25],[709327.5099999998,5156373.58],[709328.75,5156381.01],[709329.1899999995,5156387.029999999],[709329.3699999992,5156397.4399999995],[709329.5399999991,5156414.01]]]"
"Adeline Avenue"," ","Adeline","Avenue"," ",61,73,74,88,"[[[709301.3399999999,5156116.73],[709207.5600000005,5156177.039999999]]]"
"Jean Avenue"," ","Jean","Avenue"," ",60,114,61,101,"[[[709137.4100000001,5156524.91],[709148.6099999994,5156525.76],[709325.4299999997,5156531.289999999]]]"
"Nebenaigoching Street"," ","Nebenaigoching","Street"," ",2,16,1,25,"[[[709464.9900000002,5156408.33],[709510.3399999999,5156409.960000001],[709525.3200000003,5156412.039999999],[709540.3200000003,5156417.42],[709560.1799999997,5156427.51],[709730.5999999996,5156543.9]]]"
"Wiber Street"," ","Wiber","Street"," ",35,53,36,56,"[[[709108.3499999996,5156107.93],[709099.6600000001,5156225.140000001]]]"
"Anna Street"," ","Anna","Street"," ",50,84,51,85,"[[[709108.3499999996,5156107.93],[709127.9600000009,5156109.460000001],[709147.0999999996,5156112.449999999],[709148.0999999996,5156112.65],[709149.1099999994,5156112.85],[709150.0999999996,5156113.15],[709152.0999999996,5156113.65],[709153.1099999994,5156113.949999999],[709154.0999999996,5156114.35],[709155.0999999996,5156114.65],[709156,5156114.949999999],[709157.0099999998,5156115.35],[709158,5156115.75],[709158.9000000004,5156116.15],[709159.8000000007,5156116.65],[709160.8000000007,5156117.050000001],[709162.6099999994,5156117.949999999],[709163.5,5156118.449999999],[709166.4299999997,5156121.08],[709171.3800000008,5156125.4399999995],[709176.4199999999,5156130.9399999995],[709182.1500000004,5156138.51],[709190.75,5156151.4399999995],[709207.5600000005,5156177.039999999]]]"
"Wiber Street"," ","Wiber","Street"," ",123,135,120,136,"[[[709139.75,5156407.380000001],[709137.4100000001,5156524.91]]]"
"Amy Avenue"," ","Amy","Avenue"," ",58,76,61,71,"[[[709139.75,5156407.380000001],[709224.6600000001,5156409.970000001]]]"
"Anna Street"," ","Anna","Street"," ",182,206,197,223,"[[[709325.4299999997,5156531.289999999],[709321.5700000003,5156648.529999999]]]"
"Amy Avenue"," ","Amy","Avenue"," ",78,100,71,85,"[[[709224.6600000001,5156409.970000001],[709329.5399999991,5156414.01]]]"
"August Street"," ","August","Street"," ",2,6,1,5,"[[[709413.4700000007,5156289.130000001],[709444.2799999993,5156336.26],[709458.0899999999,5156358.9],[709463.0899999999,5156371.99],[709465.3399999999,5156390.18],[709464.9900000002,5156408.33]]]"
"Anna Street"," ","Anna","Street"," ",150,180,161,187,"[[[709329.5399999991,5156414.01],[709325.4299999997,5156531.289999999]]]"
"Dacey Road"," ","Dacey","Road"," ",393,415,382,416,"[[[710011.7699999996,5156142.720000001],[709917.0299999993,5156203.550000001]]]"
"Rankin Road"," ","Rankin","Road"," ",126,156,123,155,"[[[709938.6500000004,5156030.42],[710011.7699999996,5156142.720000001]]]"
"Lawson Avenue"," ","Lawson","Avenue"," ",52,100,51,99,"[[[709132.9100000001,5156642.9],[709321.5700000003,5156648.529999999]]]"
"Wiber Street"," ","Wiber","Street"," ",171,199,166,198,"[[[709132.9100000001,5156642.9],[709130.0700000003,5156761.050000001]]]"
"Falldien Road"," ","Falldien","Road"," ",1,87,2,88,"[[[711626.4800000004,5155832.5],[711276.5899999999,5156058.91]]]"
"Queen Street East"," ","Queen","Street","East",3800,3882,3801,3875,"[[[710951.9499999993,5155534.5],[710957.0899999999,5155545.15],[711001.0099999998,5155641.640000001],[711079.2400000002,5155812.76]]]"
