"FULLNAME","STREETPREFIX","STREETNAME","STREETTYPE","STREETSUFFIX","LEFTFROMADDRESS","LEFTTOADDRESS","RIGHTFROMADDRESS","RIGHTTOADDRESS","geometry.paths"
"Goulais Avenue"," ","Goulais","Avenue"," ",1471,1489,1382,1484,"[[[700487.2200000007,5161062],[700483.2599999998,5161115.91],[700479.1699999999,5161156.119999999],[700479.1600000001,5161156.26],[700473.9499999993,5161219.300000001],[700469.8499999996,5161290.25]]]"
"Goulais Avenue"," ","Goulais","Avenue"," ",1541,1599,1500,1676,"[[[700469.8499999996,5161290.25],[700489.9800000004,5161291.99],[700507.5500000007,5161293.58],[700520.1400000006,5161294.32],[700532.0999999996,5161294.85],[700546.1799999997,5161294.74],[700553.1300000008,5161294.33],[700562.3699999992,5161293.789999999],[700574.8599999994,5161292.3100000005],[700592.8499999996,5161289.77],[700601.9499999993,5161289.140000001],[700608.7200000007,5161289.35],[700616.2400000002,5161291.15],[700622.6899999995,5161293.9],[700629.6799999997,5161298.24],[700637.1899999995,5161303.630000001],[700642.1699999999,5161308.4],[700646.1899999995,5161312.949999999],[700651.8000000007,5161320.890000001],[700654.9700000007,5161327.34],[700657.7200000007,5161334.75],[700659.9499999993,5161343.109999999],[700661.8499999996,5161350.1],[700662.8000000007,5161357.720000001],[700663.0199999996,5161364.07],[700662.5899999999,5161370.630000001],[700661.8499999996,5161376.02],[700660.3699999992,5161380.789999999],[700658.0399999991,5161386.4],[700654.6600000001,5161394.23],[700651.0600000005,5161400.58],[700648.5199999996,5161404.49],[700647.0399999991,5161406.289999999],[700645.4499999993,5161407.140000001],[700643.75,5161407.67],[700641.5299999993,5161407.99],[700640.0500000007,5161407.99],[700637.9299999997,5161407.67],[700635.5,5161406.289999999],[700631.0500000007,5161403.539999999],[700625.3399999999,5161400.050000001],[700620.2599999998,5161398.140000001],[700614.8599999994,5161397.300000001],[700610.2100000009,5161397.720000001],[700604.6999999993,5161399.199999999],[700598.4600000009,5161401.640000001],[700585.4399999995,5161406.93],[700577.9299999997,5161410.74],[700572.8499999996,5161414.34],[700568.7200000007,5161418.15],[700565.3300000001,5161421.85],[700562.3699999992,5161426.51],[700560.1500000004,5161430.949999999],[700558.9800000004,5161435.289999999],[700558.3499999996,5161439.210000001],[700558.3499999996,5161443.76],[700558.9800000004,5161456.25],[700559.9299999997,5161469.9],[700560.4600000009,5161480.27],[700560.6699999999,5161488.630000001],[700560.4600000009,5161495.720000001],[700560.0399999991,5161502.390000001],[700559.1899999995,5161507.15],[700557.5,5161515.09],[700555.1699999999,5161522.07],[700552.5299999993,5161527.68],[700549.5600000005,5161533.93],[700547.8699999992,5161538.27],[700546.5999999996,5161542.710000001],[700545.8599999994,5161547.9],[700545.5399999991,5161554.460000001],[700544.5899999999,5161564.9399999995],[700543.4199999999,5161575.52],[700541.8399999999,5161588.109999999],[700540.1400000006,5161598.91],[700538.6600000001,5161606.74],[700536.3300000001,5161618.17],[700532.9499999993,5161631.51],[700531.3599999994,5161640.609999999],[700529.4499999993,5161650.98],[700527.0199999996,5161663.15],[700524.5899999999,5161678.18],[700523,5161689.1899999995],[700521.9399999995,5161697.970000001],[700520.9900000002,5161708.02],[700520.4600000009,5161723.48],[700519.5099999998,5161735.01],[700518.7599999998,5161743.58],[700517.7100000009,5161751.1],[700516.6500000004,5161757.550000001],[700515.3800000008,5161764.220000001],[700512.9399999995,5161770.779999999],[700510.3000000007,5161776.18],[700506.3800000008,5161782.85],[700501.1999999993,5161789.9399999995],[700495.4800000004,5161798.41],[700492.1999999993,5161802.43],[700483.4199999999,5161811.85],[700476.4299999997,5161818.41],[700471.6699999999,5161823.699999999],[700465.2100000009,5161831.109999999],[700462.3599999994,5161835.02],[700459.7100000009,5161839.26],[700457.6999999993,5161842.960000001],[700454.6300000008,5161850.58],[700452.7200000007,5161856.1899999995],[700451.8100000005,5161862.67]]]"
"Goulais Avenue",,"Goulais","Avenue",,1491,1801,1486,1803,"[[[700469.8499999996,5161290.25],[700467.9000000004,5161316.640000001],[700467.2699999996,5161339.970000001],[700465.8399999999,5161357.119999999],[700464.25,5161369.34],[700460.7599999998,5161378.23],[700456.3100000005,5161385.529999999],[700449.9600000009,5161389.66],[700442.1799999997,5161392.68],[700429.6400000006,5161396.01],[700414.5600000005,5161397.92],[700404.1199999992,5161397.210000001],[700393.2799999993,5161394.529999999],[700375.0800000001,5161391.140000001],[700363.0099999998,5161389.02],[700349.6799999997,5161387.539999999],[700332.1099999994,5161386.6899999995],[700315.5999999996,5161386.6899999995],[700302.4800000004,5161387.960000001],[700285.1199999992,5161390.08],[700273.4800000004,5161394.3100000005],[700260.5700000003,5161400.66],[700243.2100000009,5161410.4],[700233.6799999997,5161415.27],[700222.4700000007,5161419.710000001],[700208.2799999993,5161424.789999999],[700193.6799999997,5161429.24],[700181.1899999995,5161434.32],[700165.3100000005,5161440.460000001],[700155.1500000004,5161447.65],[700145.6300000008,5161454.85],[700136.5299999993,5161463.109999999],[700127,5161472.630000001],[700111.9700000007,5161489.140000001],[700095.0399999991,5161509.039999999],[700079.5899999999,5161526.390000001],[700064.7699999996,5161542.0600000005],[700051.0099999998,5161556.24],[700037.8900000006,5161570.84],[700024.5600000005,5161584.6],[700015.8800000008,5161592.43],[700008.4700000007,5161601.32],[700001.6999999993,5161608.1],[699992.3800000008,5161611.91],[699984.1300000008,5161616.35],[699975.4499999993,5161623.34],[699967.1899999995,5161632.23],[699958.3000000007,5161642.6],[699950.2599999998,5161653.390000001],[699944.3300000001,5161660.59],[699937.5600000005,5161666.73],[699926.1300000008,5161673.93],[699915.7599999998,5161681.119999999],[699902.8499999996,5161689.59],[699888.8800000008,5161698.48],[699875.3300000001,5161707.16],[699862.6300000008,5161715.619999999],[699851.8399999999,5161721.34],[699840.8300000001,5161727.9],[699824.7400000002,5161735.52],[699811.4100000001,5161742.289999999],[699791.3000000007,5161750.970000001],[699771.6099999994,5161760.289999999],[699751.9299999997,5161768.75],[699735,5161776.800000001],[699719.7599999998,5161782.300000001],[699709.3800000008,5161785.470000001],[699700.9199999999,5161786.32],[699688.2200000007,5161789.5],[699676.7899999991,5161795],[699667.2100000009,5161803.93]]]"
"Haldimand Court",,"Haldimand","Court",,0,0,0,0,"[[[699480.6400000006,5156954.92],[699482.5199999996,5156935.949999999],[699482.75,5156932.77],[699482.6699999999,5156930.470000001],[699482.2799999993,5156928.49],[699481.3300000001,5156926.58],[699479.9800000004,5156924.99],[699477.8300000001,5156924.039999999],[699475.2899999991,5156923.5600000005],[699317.5700000003,5156912.93],[699314.8800000008,5156912.93],[699312.5700000003,5156913.4],[699310.9100000001,5156913.960000001],[699309.6400000006,5156915.15],[699308.8399999999,5156916.42],[699307.9700000007,5156918.01],[699307.4900000002,5156919.75],[699305.5,5156943.640000001]]]"
"Second Line West"," ","Second","Line","West",951,1025,950,1060,"[[[699565.9399999995,5156960.33],[699480.6400000006,5156954.92],[699320.7899999991,5156944.789999999],[699305.5,5156943.640000001],[699144.4399999995,5156931.58]]]"
"Heyden Lake Road",,"Heyden Lake","Road",,0,0,115,137,"[[[706864.4900000002,5169669.539999999],[706875.0700000003,5169678.720000001],[706897.1600000001,5169699.359999999],[706933.9199999999,5169737.029999999],[706963.6899999995,5169766.58]]]"
"Soo Mill Entrance",,"Soo Mill Entrance",,,0,0,0,0,"[[[705540.5700000003,5157875.789999999],[705475.1199999992,5157872.449999999]]]"
"Second Line West"," ","Second","Line","West",919,935,942,948,"[[[699671.0299999993,5156967.73],[699581.9299999997,5156961.34]]]"
"Second Line West"," ","Second","Line","West",901,917,916,940,"[[[699721.1300000008,5156971.08],[699671.0299999993,5156967.73]]]"
"Jefferson Avenue",,"Jefferson","Avenue",,0,0,46,52,"[[[699671.0299999993,5156967.73],[699669.9900000002,5156981.02],[699668.9299999997,5157000.07],[699667.8699999992,5157012.77],[699666.4199999999,5157024.68],[699664.8300000001,5157035.390000001],[699662.1799999997,5157048.49],[699659.1400000006,5157060.92],[699657.0199999996,5157072.960000001],[699655.4399999995,5157085.4],[699653.8499999996,5157099.42],[699653.3200000003,5157111.0600000005],[699653.0500000007,5157124.289999999],[699653.4499999993,5157138.84],[699653.9800000004,5157150.220000001],[699653.9800000004,5157161.73],[699654.25,5157180.779999999],[699655.9000000004,5157218.41]]]"
"East Balfour Street","East","Balfour","Street"," ",86,100,85,95,"[[[700204.0500000007,5156598.23],[700296.4399999995,5156604.4399999995]]]"
"Second Line West"," ","Second","Line","West",757,787,760,780,"[[[700266.4100000001,5157007.300000001],[700176.6500000004,5157002.07]]]"
"Second Line West"," ","Second","Line","West",789,791,782,802,"[[[700176.6500000004,5157002.07],[700149.7100000009,5156999.76]]]"
"East Balfour Street","East","Balfour","Street"," ",62,84,61,83,"[[[700114.9399999995,5156592.029999999],[700204.0500000007,5156598.23]]]"
"Borden Avenue"," ","Borden","Avenue"," ",357,437,358,438,"[[[700204.0500000007,5156598.23],[700200.8300000001,5156659.42],[700192,5156785.130000001],[700176.6500000004,5157002.07]]]"
"Mall Entrance",,"Mall Entrance",,,0,0,0,0,"[[[704379.8599999994,5154257.5],[704321.6500000004,5154316.130000001]]]"
"Andrew Street"," ","Andrew","Street"," ",0,0,0,0,"[[[703848.8499999996,5154791.32],[703844.5800000001,5154797.58],[703847.9399999995,5154812.41],[703856.1600000001,5154846.3100000005]]]"
"Gore Street"," ","Gore","Street"," ",0,0,0,0,"[[[703848.8499999996,5154791.32],[703853.8200000003,5154796.18],[703866.9199999999,5154842.67]]]"
"Mall Entrance",,"Mall Entrance",,,0,0,0,0,"[[[704073.2599999998,5154310.84],[704116.0099999998,5154351.16]]]"
"Bay Street"," ","Bay","Street"," ",332,386,341,389,"[[[704355.8200000003,5154388.23],[704433.2300000004,5154309.710000001]]]"
"Bay Street"," ","Bay","Street"," ",388,478,391,463,"[[[704433.2300000004,5154309.710000001],[704581.1400000006,5154159.01]]]"
"Elgin Street"," ","Elgin","Street"," ",61,81,62,78,"[[[704433.2300000004,5154309.710000001],[704451.7400000002,5154328.4],[704533.1400000006,5154408.5]]]"
"Bay Street"," ","Bay","Street"," ",598,626,597,625,"[[[704744.8499999996,5153991.300000001],[704757.0399999991,5153978.609999999],[704800.6500000004,5153934.199999999]]]"
"Brock Street"," ","Brock","Street"," ",55,109,54,110,"[[[704744.8499999996,5153991.300000001],[704846.1400000006,5154090.01]]]"
"St. Mary's River Drive"," ","St. Mary's River","Drive"," ",241,275,240,274,"[[[704322.9700000007,5154203.220000001],[704328.6899999995,5154208.0600000005],[704342.8200000003,5154221.24],[704361.4700000007,5154239.73],[704379.8599999994,5154257.5],[704414.7300000004,5154291.960000001],[704433.2300000004,5154309.710000001]]]"
"Spring Street"," ","Spring","Street"," ",3,51,4,50,"[[[704495.3000000007,5153965.09],[704636.0299999993,5154103.210000001]]]"
"Foster Drive"," ","Foster","Drive"," ",70,88,65,87,"[[[704322.9700000007,5154203.220000001],[704360.6799999997,5154165.75],[704373.9299999997,5154152.58],[704382.9800000004,5154143.369999999],[704387.5800000001,5154137.970000001],[704391.2300000004,5154133.369999999],[704395.7599999998,5154127.26],[704400.1199999992,5154120.99],[704403.8599999994,5154115.109999999],[704406.4000000004,5154110.67],[704409.6500000004,5154103.76],[704415.4399999995,5154086.539999999],[704424.5700000003,5154060.18],[704426.7899999991,5154054.23],[704429.3300000001,5154048.039999999],[704433.3800000008,5154039.779999999],[704437.3499999996,5154032.16],[704440.8399999999,5154026.289999999],[704444.8900000006,5154020.34],[704449.4199999999,5154014.3100000005],[704453.3900000006,5154009.460000001],[704458.0700000003,5154003.99],[704462.9900000002,5153998.1899999995],[704472.9900000002,5153987.869999999],[704495.3000000007,5153965.09]]]"
"Foster Drive"," ","Foster","Drive"," ",90,100,89,99,"[[[704495.3000000007,5153965.09],[704523.8699999992,5153935.57],[704528.7100000009,5153931.199999999],[704533,5153927.869999999],[704537.4399999995,5153924.449999999],[704542.7599999998,5153921.279999999],[704545.6199999992,5153919.609999999],[704550.2200000007,5153917.789999999],[704553.7899999991,5153916.52],[704561.5700000003,5153914.77],[704573.4000000004,5153912.779999999],[704615.0700000003,5153906.75],[704623.0899999999,5153905.640000001],[704628.8800000008,5153905.09],[704636.0299999993,5153905.24],[704643.0899999999,5153906.279999999],[704651.1899999995,5153908.74],[704656.5099999998,5153910.880000001],[704659.7599999998,5153912.9399999995],[704663.0199999996,5153914.93]]]"
"Russ Ramsay Way"," ","Russ Ramsay","Way"," ",5,49,2,48,"[[[704663.0199999996,5153914.93],[704668.9700000007,5153919.529999999],[704675.3200000003,5153925.17],[704695,5153944.300000001],[704744.8499999996,5153991.300000001]]]"
"Mall Entrance",,"Mall Entrance",,,0,0,0,0,"[[[703859.4199999999,5154602.57],[703885.2599999998,5154627.52]]]"
"Mall Entrance",,"Mall Entrance",,,0,0,0,0,"[[[703953.1799999997,5154689.720000001],[703859.0399999991,5154784.050000001],[703848.8499999996,5154791.32]]]"
"Bay Street"," ","Bay","Street"," ",200,288,201,289,"[[[704122.1400000006,5154626.8100000005],[704136.2400000002,5154613.51],[704220.6199999992,5154527.289999999],[704278.9299999997,5154467.699999999]]]"
"Mall Entrance",,"Mall Entrance",,,0,0,0,0,"[[[704220.6199999992,5154527.289999999],[704189.2100000009,5154496.470000001]]]"
"St. Mary's River Drive"," ","St. Mary's River","Drive"," ",199,235,200,234,"[[[704073.2599999998,5154310.84],[704086.2799999993,5154282.039999999],[704096.1999999993,5154260.77],[704104.2100000009,5154243.539999999],[704110.4100000001,5154231],[704114.4499999993,5154223.9399999995],[704118.0299999993,5154218.859999999],[704123.0299999993,5154212.98],[704127.4700000007,5154208.380000001],[704131.9199999999,5154204.8100000005],[704137.3100000005,5154200.84],[704142.7100000009,5154197.27],[704148.5099999998,5154194.09],[704155.5700000003,5154191.3100000005],[704160.4900000002,5154189.720000001],[704166.9199999999,5154188.300000001],[704174.7799999993,5154187.26],[704182.2400000002,5154186.789999999],[704190.6500000004,5154186.710000001],[704239.8100000005,5154187.5600000005]]]"
"St. Mary's River Drive"," ","St. Mary's River","Drive"," ",237,239,236,238,"[[[704239.8100000005,5154187.5600000005],[704265.5800000001,5154188.140000001],[704275.0299999993,5154188.300000001],[704279.8699999992,5154188.609999999],[704286.2200000007,5154189.25],[704290.1099999994,5154189.880000001],[704295.6699999999,5154191.23],[704301.6199999992,5154192.98],[704306.8599999994,5154194.800000001],[704312.4199999999,5154197.1899999995],[704318.2899999991,5154200.199999999],[704322.9700000007,5154203.220000001]]]"
"Mall Entrance",,"Mall Entrance",,,0,0,0,0,"[[[704239.8100000005,5154187.5600000005],[704239.1799999997,5154213.0600000005],[704237.7200000007,5154234.109999999]]]"
"St. Mary's River Drive"," ","St. Mary's River","Drive"," ",129,197,130,198,"[[[703974.75,5154483.75],[703984.3599999994,5154472.0600000005],[703999.5999999996,5154452.460000001],[704005.8699999992,5154443.41],[704011.1899999995,5154434.99],[704017.3000000007,5154425.15],[704026.3499999996,5154409.51],[704032.8599999994,5154396.58],[704038.3300000001,5154385.23],[704046.9100000001,5154367.289999999],[704059.2100000009,5154340.699999999],[704073.2599999998,5154310.84]]]"
"Mall Entrance",,"Mall Entrance",,,0,0,0,0,"[[[703974.75,5154483.75],[704002.7200000007,5154510.869999999]]]"
"St. Mary's River Drive"," ","St. Mary's River","Drive"," ",25,127,24,128,"[[[703848.8499999996,5154791.32],[703831.75,5154755.130000001],[703818.8300000001,5154728.779999999],[703815.8699999992,5154722.210000001],[703813.5399999991,5154716.390000001],[703811.2100000009,5154710.25],[703809.7300000004,5154704.539999999],[703808.8900000006,5154698.300000001],[703808.3599999994,5154693.109999999],[703808.4600000009,5154687.82],[703808.8900000006,5154680.619999999],[703809.4100000001,5154675.4399999995],[703810.3699999992,5154670.039999999],[703811.8499999996,5154663.16],[703814.2799999993,5154656.91],[703817.1400000006,5154650.880000001],[703820.8399999999,5154645.27],[703827.1899999995,5154636.91],[703833.1199999992,5154630.029999999],[703859.4199999999,5154602.57],[703903.4700000007,5154557.949999999],[703939.6600000001,5154520.960000001],[703957.6799999997,5154501.99],[703974.75,5154483.75]]]"
"Plaza Entrance",,"Plaza Entrance",,,0,0,0,0,"[[[705594.9199999999,5156992.93],[705578.9499999993,5156995.210000001],[705518.1899999995,5156995.119999999]]]"
"Plaza Entrance",,"Plaza Entrance",,,0,0,0,0,"[[[705422.8200000003,5156880.25],[705418.5899999999,5157018.109999999]]]"
"Private",,"Private",,,0,0,0,0,"[[[692856.7400000002,5152753.08],[692886.25,5152748.800000001],[692894.5800000001,5152747.529999999],[692902.1999999993,5152746.66],[692908.0800000001,5152746.1],[692916.1699999999,5152745.470000001],[692926.4100000001,5152745.539999999],[692933.1600000001,5152746.42],[692939.8300000001,5152748.24],[692945.0700000003,5152750.3100000005],[692949.9900000002,5152753.16],[692954.6699999999,5152757.289999999]]]"
"Private",,"Private",,,0,0,0,0,"[[[692856.7400000002,5152753.08],[692883.7899999991,5152757.85],[692893.5500000007,5152759.359999999],[692904.1099999994,5152761.02],[692915.3000000007,5152762.050000001],[692924.1899999995,5152762.529999999],[692932.5199999996,5152762.529999999],[692939.6699999999,5152761.9],[692944.0299999993,5152760.859999999],[692950.3000000007,5152758.720000001],[692954.6699999999,5152757.289999999]]]"
"Private",,"Private",,,0,0,0,0,"[[[692954.6699999999,5152757.289999999],[692968.2400000002,5152761.5],[692975.2300000004,5152763.5600000005],[692980.4700000007,5152764.279999999],[692985.8599999994,5152764.4399999995],[692990.7899999991,5152764.199999999],[692996.8200000003,5152762.93],[693006.9000000004,5152760.779999999]]]"
"Private",,"Private",,,0,0,0,0,"[[[692858.6999999993,5152699.18],[692907,5152701.82]]]"
"Private",,"Private",,,0,0,0,0,"[[[693006.9000000004,5152760.779999999],[693006.8200000003,5152751.18],[693006.9000000004,5152747.369999999],[693007.3800000008,5152740.539999999],[693008.5700000003,5152734.109999999],[693010.2300000004,5152728],[693012.4600000009,5152720.859999999],[693014.9399999995,5152712.09]]]"
"Private",,"Private",,,0,0,0,0,"[[[692907,5152701.82],[692909.9000000004,5152702.4399999995],[692913.3200000003,5152703],[692924.3499999996,5152703.5600000005],[692974.2799999993,5152705.300000001],[692988.6400000006,5152705.779999999],[692996.8200000003,5152706.02],[693000.0700000003,5152706.41],[693002.4499999993,5152707.050000001],[693004.9100000001,5152707.92],[693006.9800000004,5152709.029999999],[693009.4399999995,5152710.460000001],[693011.6600000001,5152711.18],[693014.9399999995,5152712.09]]]"
"Private",,"Private",,,0,0,0,0,"[[[693014.9399999995,5152712.09],[693017.3800000008,5152707.289999999],[693019.5199999996,5152703.630000001],[693020.9499999993,5152701.17],[693021.7400000002,5152698.32],[693023.0099999998,5152692.279999999],[693024.1199999992,5152684.82],[693024.8399999999,5152678.23],[693025.7899999991,5152672.84],[693026.5800000001,5152669.58],[693027.7699999996,5152665.140000001],[693031.4100000001,5152653.550000001]]]"
"Private",,"Private",,,0,0,0,0,"[[[692907,5152701.82],[692907.5199999996,5152681.65],[692907.6799999997,5152668.07],[692908,5152661.720000001],[692908.2400000002,5152657.68],[692908.5500000007,5152655.289999999],[692909.4299999997,5152653.3100000005],[692910.6999999993,5152651.720000001],[692913.1600000001,5152650.529999999],[692916.7300000004,5152649.82],[692920.4600000009,5152649.74],[692955.1500000004,5152650.289999999],[692981.2599999998,5152650.140000001],[692999.6799999997,5152650.0600000005],[693008.5700000003,5152650.0600000005],[693015.7899999991,5152650.210000001],[693024.1199999992,5152650.85],[693027.5399999991,5152651.48],[693029.1199999992,5152652.039999999],[693031.4100000001,5152653.550000001]]]"
"Private",,"Private",,,0,0,0,0,"[[[693031.4100000001,5152653.550000001],[693041.9000000004,5152653.470000001],[693054.5199999996,5152653.3100000005],[693065,5152652.99],[693073.4900000002,5152652.83],[693080.4000000004,5152652.83],[693084.5299999993,5152653.15],[693088.1799999997,5152653.789999999],[693090.7200000007,5152654.74],[693092.6999999993,5152655.85],[693094.3699999992,5152657.279999999],[693096.0399999991,5152659.9],[693097.6999999993,5152663.3100000005],[693099.7699999996,5152668.3100000005],[693101.2799999993,5152672.119999999],[693103.2599999998,5152675.460000001],[693107.6300000008,5152682.199999999],[693110.3300000001,5152686.73],[693111.9900000002,5152689.9],[693113.0999999996,5152693.32],[693113.5800000001,5152695.699999999],[693113.9000000004,5152697.68],[693114.0600000005,5152700.619999999],[693113.9000000004,5152703.48],[693111.1199999992,5152727.210000001],[693109.6099999994,5152736.34],[693109.3699999992,5152740.619999999],[693109.3699999992,5152746.42],[693110.1799999997,5152755.109999999]]]"
"Private",,"Private",,,0,0,0,0,"[[[693006.9000000004,5152760.779999999],[693015.4700000007,5152759.77],[693029.9800000004,5152758.029999999],[693035.4945090668,5152757.889623521],[693040.9591306868,5152758.642900594],[693046.2300000004,5152760.27],[693058.3654922193,5152764.228615828],[693070.9100000001,5152766.59],[693079.6308841872,5152766.9656707095],[693088.3025874804,5152765.967416493],[693096.7100000009,5152763.619999999],[693101.5872590009,5152761.429578731],[693106.1073092604,5152758.573927081],[693110.1799999997,5152755.109999999]]]"
"Private",,"Private",,,0,0,0,0,"[[[693110.1799999997,5152755.109999999],[693146.5600000005,5152742.74]]]"
"Private",,"Private",,,0,0,0,0,"[[[693314.3100000005,5152677.59],[693313.9199999999,5152674.77],[693312.4100000001,5152668.18],[693311.3800000008,5152665.960000001],[693310.1099999994,5152663.970000001],[693308.4399999995,5152662.07],[693306.4499999993,5152660.960000001],[693303.7599999998,5152660],[693300.4199999999,5152659.369999999],[693297.25,5152659.130000001],[693293.2799999993,5152659.130000001],[693288.75,5152659.449999999],[693284.0700000003,5152659.6899999995],[693280.6600000001,5152660.16],[693276.3699999992,5152661.039999999],[693270.0999999996,5152662.470000001],[693265.0999999996,5152663.74],[693259.5399999991,5152665.01],[693255.4199999999,5152665.720000001],[693251.0500000007,5152666.119999999],[693246.7599999998,5152665.960000001],[693242.8000000007,5152665.5600000005],[693238.0299999993,5152664.93],[693232.6400000006,5152664.369999999],[693225.4900000002,5152663.74],[693215.4900000002,5152663.18],[693208.1899999995,5152662.859999999],[693200.0099999998,5152662.390000001],[693194.5399999991,5152661.91],[693188.3399999999,5152661.43],[693184.3800000008,5152661.35],[693181.0399999991,5152661.75],[693177.9499999993,5152662.859999999],[693175.1699999999,5152664.210000001],[693173.1799999997,5152665.720000001],[693171.5199999996,5152667.390000001],[693170.4000000004,5152669.210000001],[693169.2100000009,5152671.199999999],[693168.4199999999,5152673.66],[693167.7899999991,5152676.039999999],[693166.9900000002,5152680.5600000005],[693164.1300000008,5152699.300000001],[693163.5,5152704.529999999],[693162.9399999995,5152707.550000001],[693161.6400000006,5152714.5600000005]]]"
"Private",,"Private",,,0,0,0,0,"[[[693161.6400000006,5152714.5600000005],[693156.3699999992,5152731.369999999],[693154.6982203206,5152734.810900958],[693152.4588600269,5152737.912499284],[693149.7188297941,5152740.582121172],[693146.5600000005,5152742.74]]]"
"Private",,"Private",,,0,0,0,0,"[[[693161.6400000006,5152714.5600000005],[693166.5899999999,5152713.029999999],[693170.0899999999,5152711.76],[693172.5500000007,5152710.41],[693174.7699999996,5152708.74],[693183.4199999999,5152702.789999999],[693187.7899999991,5152700.01],[693192.7100000009,5152697.710000001],[693197.0800000001,5152695.720000001],[693201.4399999995,5152694.449999999],[693205.8100000005,5152693.58],[693215.3300000001,5152692.3100000005],[693240.8900000006,5152689.6899999995],[693256.0500000007,5152688.34],[693269.8599999994,5152686.6],[693283.3599999994,5152684.85],[693292.7200000007,5152683.18],[693300.5800000001,5152681.75],[693305.2599999998,5152680.48],[693314.3100000005,5152677.59]]]"
"Private",,"Private",,,0,0,0,0,"[[[693320.1300000008,5152700.470000001],[693318.6799999997,5152694.289999999],[693316.7699999996,5152686.119999999],[693314.3100000005,5152677.59]]]"
"Private",,"Private",,,0,0,0,0,"[[[693326.5399999991,5152731.359999999],[693325.2699999996,5152722.23],[693323.9199999999,5152716.279999999],[693321.8499999996,5152706.76],[693320.1300000008,5152700.470000001]]]"
"Private",,"Private",,,0,0,0,0,"[[[693180.9600000009,5152748.5600000005],[693186.1999999993,5152749.539999999],[693190.8000000007,5152750.41],[693198.9000000004,5152751.289999999],[693233.1899999995,5152754.0600000005],[693247.8000000007,5152755.02],[693256.4499999993,5152755.49],[693261.5299999993,5152756.050000001],[693268.75,5152757.16],[693275.3399999999,5152757.789999999],[693283.9100000001,5152758.59],[693293.9900000002,5152759.380000001],[693302.8000000007,5152759.699999999],[693307.8800000008,5152759.699999999],[693311.9299999997,5152759.220000001],[693315.3399999999,5152758.59],[693319.2300000004,5152757],[693321.9299999997,5152755.25],[693323.7599999998,5152753.51],[693325.2699999996,5152751.4399999995],[693326.3800000008,5152749.300000001],[693327.3300000001,5152746.68],[693327.8100000005,5152744.380000001],[693327.9600000009,5152741.050000001],[693327.7300000004,5152738.98],[693326.5399999991,5152731.359999999]]]"
"Private",,"Private",,,0,0,0,0,"[[[693146.5600000005,5152742.74],[693152.9399999995,5152745.49],[693160.0899999999,5152747.32],[693165.0099999998,5152747.869999999],[693180.9600000009,5152748.5600000005]]]"
"Private",,"Private",,,0,0,0,0,"[[[693193.75,5152730.4399999995],[693201.1999999993,5152731.52],[693205.8100000005,5152732.32],[693211.5999999996,5152732.869999999],[693219.7799999993,5152733.35],[693231.3699999992,5152734.140000001],[693243.9900000002,5152734.699999999],[693268.6699999999,5152736.050000001],[693277.5600000005,5152736.52],[693285.2599999998,5152737.24],[693291.6899999995,5152737.710000001],[693297.6400000006,5152737.710000001],[693303.0399999991,5152737.24],[693309.5500000007,5152735.890000001],[693316.1400000006,5152734.140000001],[693326.5399999991,5152731.359999999]]]"
"Private",,"Private",,,0,0,0,0,"[[[693180.9600000009,5152748.5600000005],[693183.9000000004,5152743.82],[693186.2799999993,5152739.779999999],[693188.4199999999,5152737.24],[693193.75,5152730.4399999995]]]"
"Private",,"Private",,,0,0,0,0,"[[[693193.75,5152730.4399999995],[693196.5999999996,5152725.65],[693198.1899999995,5152722],[693199.6899999995,5152719.619999999],[693201.4399999995,5152717.550000001],[693203.0299999993,5152716.6],[693204.8499999996,5152715.8100000005],[693207.7100000009,5152714.93],[693210.4900000002,5152714.380000001],[693212.9499999993,5152714.300000001],[693220.7300000004,5152714.380000001],[693228.4299999997,5152714.539999999],[693239.9399999995,5152714.609999999],[693250.5700000003,5152714.77],[693256.2100000009,5152714.539999999],[693261.6099999994,5152713.82],[693268.1999999993,5152712.789999999],[693277.3200000003,5152710.960000001],[693286.1300000008,5152709.380000001],[693299.7899999991,5152706.52],[693305.4199999999,5152705.25],[693310.4199999999,5152703.82],[693320.1300000008,5152700.470000001]]]"
"Airport Road"," ","Airport","Road"," ",477,961,450,966,"[[[692878.0600000005,5152118.5600000005],[692871.4900000002,5152312.140000001],[692866.5899999999,5152459.779999999],[692861.9600000009,5152599.869999999],[692858.6999999993,5152699.18],[692858.4299999997,5152707.17],[692856.7400000002,5152753.08],[692855.8900000006,5152776.359999999],[692852.9900000002,5152854.66],[692852.6999999993,5152862.609999999],[692847.1500000004,5153026.779999999],[692842.7799999993,5153159.869999999],[692838.2799999993,5153305.25],[692834.1799999997,5153440.1899999995],[692829.4199999999,5153593.25],[692826.1099999994,5153717.08],[692821.0899999999,5153868.949999999],[692813.4100000001,5154093.32],[692808.3000000007,5154243.220000001]]]"
