"Name","Location","Address","Municipality","Owner","Access_","Age0_3","Age4_5","Age6_12","Surface","OtherSurfaceType","Swingset","SaucerSwing","Slides","Bars","FiremanPole","MerryGoRound","Platforms","Climbers","RockWall","SeeSaw","SpringRiders","PlaygroundGames","Splashpad","OtherEquipDesc","OtherEquipDesc1","OtherEquipDesc2","BasketballCourt","BaseballField","SoccerField","TennisCourt","VolleyballCourt","FinalScore2013","FinalScore2016","geometry.x","geometry.y"
"Forest Glen Park","Ben R. McMillan School at Paradise Avenue and Peach Street","24 Paradise Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,0,0,0,0,,,,1,1,1,0,0,100,80,707281.2700100167,5155847.840016571
"Forest Heights Park","St. Bernadette School at Princess Crescent and Palace Drive","1 Princess Crescent","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,1,0,0,0,0,80,85,706753.7500037627,5155712.970019258
"Glasgow Park","Glasgow Avenue south of Wallace Terrace","89 Glasgow Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand",,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,1,0,0,0,65,75,700489.9900279231,5155790.499996174
"Glenwood Park","Glenwood Avenue off Chambers Avenue","110 Glenwood Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,65,70,710133.7999673856,5155773.800010199
"Green Acres Park","East Dunrobin Bay off Tallack Blvd","23 Kent Cres","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,1,1,1,1,0,1,0,0,0,0,1,0,,,,1,0,0,0,0,75,85,702633.3800254278,5159401.750013155
"Greenfield Park","Between Greenfield Drive and Beaumont Avenue","24 Beaumont Ave","Sault Ste. Marie","City","Public",1,1,1,"Sand","grass",1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,0,0,70,90,703165.3699727406,5159072.090004837
"Hamilton Park","Hamilton Avenue","0 Hamilton Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,80,80,705415.6200334183,5154476.019986013
"Highland Park","Blake Avenue at Champlain Avenue","63 Blake Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand","grass",1,0,1,0,0,0,1,1,1,0,0,1,0,,,,0,0,0,0,0,90,95,705445.7900105045,5156108.150002078
"Kinsmen Park (Hiawatha)","Hiawatha Highlands","780 Landslide Road","Sault Ste. Marie","Private","Private",1,1,1,"Sand","Grass",1,0,1,1,0,0,1,0,1,1,0,0,0,,,,0,1,0,0,0,70,55,708497.6600233273,5162926.750001977
"Hillside Park","Hillside Drive and Peoples Road","86 Hillside Drive","Sault Ste. Marie","City","Public",1,1,0,"Grass",,1,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,65,65,702986.062797477,5158113.064194463
"John Street Park","John Street near Cathcart Street","232 John Street","Sault Ste. Marie","City","Public",0,1,1,"Sand","Grass",1,0,1,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,60,55,703719.0100312826,5155373.890003484
"Joseph Park","Joseph Street at Country Club Place","0 Joseph Street","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,1,1,0,0,0,0,0,,,,0,0,0,0,0,80,75,708517.5700133378,5153816.890024415
"Korah Park","Korah Road and Seventh Avenue","348 Korah Road","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,1,1,1,0,0,1,0,,,,0,0,0,0,0,75,85,702251.4400098517,5156642.140018617
"LaSalle Park","LaSalle Court / Mary Ave","79 LaSalle Court","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,0,0,0,1,1,0,0,0,1,0,,,,0,0,0,1,0,80,100,704505.2100112527,5158107.169983354
"Laurentian Park","Rossmore Road and Korah Road","1351 Korah Road","Sault Ste. Marie","City","Public",1,1,0,"Grass","Sand",1,0,1,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,65,65,701355.3000180287,5157962.799977947
"Lennox Park","Lennox Ave off Bainbridge Street","747 Lennox Ave","Sault Ste. Marie","City","Public",1,1,1,"Sand","Grass",1,0,1,1,1,0,1,1,0,0,0,0,0,,,,1,0,1,0,0,75,90,703376.8999875828,5157141.99999994
"Littner Park","Eastern Avenue","190 Eastern Avenue","Sault Ste. Marie","City","Public",1,1,1,"Sand",,1,0,1,1,1,0,1,1,0,0,0,0,0,,,,0,0,0,0,0,85,70,709750.1100182825,5155450.930025473
"Manitou Park","Amy Avenue and Greene Street","88 Greene Street","Sault Ste. Marie","City","Public",1,1,1,"Sand",,1,1,1,1,1,0,1,0,0,0,0,1,0,,,,0,0,0,0,0,65,70,709182.6499688949,5156380.909965335
