"CIVICNUMBER","UNIT","STREETNAME","POSTALCODE","MUNICIPALITY","LATITUDE","LONGITUDE","geometry.x","geometry.y"
782,,"Base Line","P6A 5K6","SSM",46.52180411,-84.42058815,697840.5399999991,5155258.720000001
492,,"Lakeshore Drive","P6A 5K8","Dennis",46.61827585,-84.53412231,688797.5399999991,5165699.550000001
1169,,"Leigh's Bay Road","P6A 5K8","SSM",46.54489406,-84.4300651,697030.1099999994,5157800.5600000005
780,,"Third Line West","P6A 5K8","SSM",46.55205867,-84.39085891,700009.5,5158695.3100000005
148,"A","Lakeshore Drive","P6A 5K8","Dennis",46.63088075,-84.52016149,689822.3100000005,5167133.67
1386,,"Carpin Beach Road","P6A 5K8","SSM",46.54931651,-84.44564368,695819.8699999992,5158253.15
68,,"Anderson Road","P6C 6B8","SSM",46.53803449,-84.41323523,698345.3599999994,5157080.5600000005
858,,"Leigh's Bay Road","P6A 5K6","SSM",46.53421423,-84.42338771,697580.7899999991,5156630.609999999
38,,"Foothill Road","P6C 0E4","SSM",46.56514747,-84.38513471,700400.0600000005,5160164.16
659,,"Fourth Line West","P6A 0B5","SSM",46.56562721,-84.38424768,700466.2699999996,5160219.720000001
125,,"Foothill Road","P6C 0E5","SSM",46.56441556,-84.38927967,700085.0999999996,5160072.3100000005
124,,"McQueen Road","P6C 6E3","SSM",46.56331078,-84.38934915,700083.8399999999,5159949.380000001
46,,"McQueen Road","P6C 6E3","SSM",46.56336069,-84.38537002,700388.6099999994,5159965.029999999
1511,,"Maki Road","P6A 5K8","SSM",46.58914673,-84.44931893,695394.9600000009,5162669.65
983,,"Allen's Side Road","P6A 5K8","SSM",46.55492768,-84.40405902,698987.1600000001,5158980.699999999
1675,,"Third Line West","P6A 5K8","SSM",46.54983623,-84.43503091,696631.5500000007,5158337.300000001
166,,"Foothill Road","P6C 0E4","SSM",46.56497003,-84.3914357,699917.8300000001,5160128.449999999
1676,,"Goulais Avenue","P6A 0B5","SSM",46.58053769,-84.38315821,700494.7699999996,5161879.220000001
1408,,"Base Line","P6A 5K6","SSM",46.52141152,-84.45087073,695519.3599999994,5155139.619999999
67,,"Ellis Road","P6C 1N9","SSM",46.53123259,-84.40838051,698742.0899999999,5156338.93
1772,,"Third Line West","P6A 5K8","SSM",46.55031092,-84.43962142,696277.9399999995,5158378.609999999
323,,"Nixon Road","P6C 5R7","SSM",46.53155836,-84.41203386,698461.0800000001,5156364.01
1267,,"Goulais Avenue","P6A 5K8","SSM",46.56567777,-84.38365283,700511.6699999999,5160226.85
744,,"Leigh's Bay Road","P6A 5K6","SSM",46.53083831,-84.42126695,697755.6699999999,5156260.82
1016,,"Third Line West","P6A 5K8","SSM",46.55133648,-84.40217572,699144.6600000001,5158586.43
677,,"Maki Road","P6A 5K8","SSM",46.57393606,-84.42172271,697568.2699999996,5161048.210000001
1487,,"Leigh's Bay Road","P6A 5K8","SSM",46.55492753,-84.42619902,697290.1199999992,5158925.0600000005
1616,,"Base Line","P6A 5K6","SSM",46.52087442,-84.46098158,694745.8000000007,5155054.9399999995
29,,"Appaloosa Avenue","P6A 0B3","SSM",46.54642857,-84.40863315,698667.5800000001,5158024.82
30,,"Foothill Road","P6C 0E4","SSM",46.56503949,-84.38475027,700429.9199999999,5160153.140000001
5,,"Oriole Street","P6C 6E5","SSM",46.56413292,-84.39037,700002.5800000001,5160038.140000001
114,,"Allen's Side Road","P6C 5P5","SSM",46.52535106,-84.40125092,699310.6699999999,5155701.49
1287,,"Second Line West","P6C 2M1","SSM",46.53578888,-84.41500083,698218.1600000001,5156826.609999999
932,,"Fourth Line West","P6A 5K8","SSM",46.56594167,-84.39709003,699480.9399999995,5160222.09
1148,,"Wallace Terrace","P6C 1M7","SSM",46.52935206,-84.40360592,699115.4299999997,5156140.1
1499,,"Third Line West","P6A 5K8","SSM",46.55014421,-84.42614599,697311.5299999993,5158393.710000001
279,,"Nixon Road","P6C 5R7","SSM",46.529841,-84.41194726,698473.9800000004,5156173.41
38,,"McQueen Road","P6C 6E3","SSM",46.56336186,-84.38511057,700408.4900000002,5159965.82
331,,"Nixon Road","P6C 5R7","SSM",46.5318806,-84.41199572,698462.8300000001,5156399.91
740,,"Allen's Side Road","P6A 5K8","SSM",46.54864182,-84.40299235,699091.9199999999,5158284.960000001
1049,,"Allen's Side Road","P6A 5K8","SSM",46.55702884,-84.40411206,698975.4100000001,5159214.029999999
295,,"Maki Road","P6A 5K8","SSM",46.56136779,-84.4152285,698108.1199999992,5159664.43
923,,"Third Line West","P6A 5K8","SSM",46.55085748,-84.39705484,699538.6999999993,5158544.43
267,,"Allen's Side Road","P6C 5P8","SSM",46.53111177,-84.40296949,699157.8000000007,5156337.23
1547,,"Second Line West","P6A 5K8","SSM",46.53552438,-84.42800046,697222.3399999999,5156764.640000001
1060,,"Base Line","P6A 5K6","SSM",46.52148738,-84.43405168,696809.0700000003,5155189.859999999
126,,"Foothill Road","P6C 0E4","SSM",46.56494575,-84.38939802,700074.0800000001,5160130.92
